,,,0
いも及びでん粉類,＜いも類＞きくいも塊茎生,Calorie_cal,35
いも及びでん粉類,＜いも類＞きくいも塊茎水煮,Calorie_cal,28
いも及びでん粉類,＜いも類＞こんにゃく精粉,Calorie_cal,177
いも及びでん粉類,＜いも類＞こんにゃく板こんにゃく精粉こんにゃく,Calorie_cal,5
いも及びでん粉類,＜いも類＞こんにゃく板こんにゃく生いもこんにゃく,Calorie_cal,7
いも及びでん粉類,＜いも類＞こんにゃく赤こんにゃく,Calorie_cal,5
いも及びでん粉類,＜いも類＞こんにゃく凍みこんにゃく乾,Calorie_cal,167
いも及びでん粉類,＜いも類＞こんにゃく凍みこんにゃくゆで,Calorie_cal,36
いも及びでん粉類,＜いも類＞こんにゃくしらたき,Calorie_cal,6
いも及びでん粉類,＜いも類＞（さつまいも類）さつまいも塊根皮むき生,Calorie_cal,134
いも及びでん粉類,＜いも類＞（さつまいも類）さつまいも塊根皮むき蒸し,Calorie_cal,134
いも及びでん粉類,＜いも類＞（さつまいも類）さつまいも塊根皮むき焼き,Calorie_cal,163
いも及びでん粉類,＜いも類＞（さつまいも類）さつまいも塊根皮つき生,Calorie_cal,140
いも及びでん粉類,＜いも類＞（さつまいも類）さつまいも塊根皮つき蒸し,Calorie_cal,140
いも及びでん粉類,＜いも類＞（さつまいも類）さつまいも塊根皮つき天ぷら,Calorie_cal,221
いも及びでん粉類,＜いも類＞（さつまいも類）さつまいも蒸し切干,Calorie_cal,303
いも及びでん粉類,＜いも類＞（さつまいも類）むらさきいも塊根皮むき生,Calorie_cal,133
いも及びでん粉類,＜いも類＞（さつまいも類）むらさきいも塊根皮むき蒸し,Calorie_cal,132
いも及びでん粉類,＜いも類＞（さといも類）さといも球茎生,Calorie_cal,58
いも及びでん粉類,＜いも類＞（さといも類）さといも球茎水煮,Calorie_cal,59
いも及びでん粉類,＜いも類＞（さといも類）さといも球茎冷凍,Calorie_cal,72
いも及びでん粉類,＜いも類＞（さといも類）セレベス球茎生,Calorie_cal,89
いも及びでん粉類,＜いも類＞（さといも類）セレベス球茎水煮,Calorie_cal,85
いも及びでん粉類,＜いも類＞（さといも類）たけのこいも球茎生,Calorie_cal,103
いも及びでん粉類,＜いも類＞（さといも類）たけのこいも球茎水煮,Calorie_cal,96
いも及びでん粉類,＜いも類＞（さといも類）みずいも球茎生,Calorie_cal,117
いも及びでん粉類,＜いも類＞（さといも類）みずいも球茎水煮,Calorie_cal,110
いも及びでん粉類,＜いも類＞（さといも類）やつがしら球茎生,Calorie_cal,97
いも及びでん粉類,＜いも類＞（さといも類）やつがしら球茎水煮,Calorie_cal,93
いも及びでん粉類,＜いも類＞じゃがいも塊茎生,Calorie_cal,76
いも及びでん粉類,＜いも類＞じゃがいも塊茎蒸し,Calorie_cal,84
いも及びでん粉類,＜いも類＞じゃがいも塊茎水煮,Calorie_cal,73
いも及びでん粉類,＜いも類＞じゃがいもフライドポテト,Calorie_cal,237
いも及びでん粉類,＜いも類＞じゃがいも乾燥マッシュポテト,Calorie_cal,357
いも及びでん粉類,＜いも類＞ヤーコン塊根生,Calorie_cal,54
いも及びでん粉類,＜いも類＞ヤーコン塊根水煮,Calorie_cal,44
いも及びでん粉類,＜いも類＞（やまのいも類）ながいもいちょういも塊根生,Calorie_cal,108
いも及びでん粉類,＜いも類＞（やまのいも類）ながいもながいも塊根生,Calorie_cal,65
いも及びでん粉類,＜いも類＞（やまのいも類）ながいもながいも塊根水煮,Calorie_cal,59
いも及びでん粉類,＜いも類＞（やまのいも類）ながいもやまといも塊根生,Calorie_cal,123
